genes,logFC,logCPM,LR,PValue,FDR,AGI,At_symbol,At_short_description,perc_ID
BraA09g055390.3C,-0.5818442699276045,5.48808775731841,23.546702510004366,1.219181891286656e-6,5.059779516732357e-5,AT2G21620,RD2,Adenine nucleotide alpha hydrolases-like superfamily protein,84.615
BraA03g012410.3C,1.1529793771456038,5.923268721073855,23.52157561889622,1.235208049068965e-6,5.1189566188025426e-5,AT5G57480,NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein,85.622
BraA02g014480.3C,-0.8224729353030894,2.9853470071006654,23.503395659272442,1.2469349688565499e-6,5.1601731682623624e-5,AT5G53590,SAUR30,SAUR-like auxin-responsive protein family,82.85
BraA09g023350.3C,-1.4353329121757885,2.3223671926395095,23.45292665847394,1.2800783935266742e-6,5.289773310082839e-5,AT2G02010,GAD4,glutamate decarboxylase 4,89.676
BraA02g010180.3C,-0.5077010212352302,5.847468037883998,23.427028513835538,1.2974274943423263e-6,5.353829010841668e-5,AT5G60710,NA,Zinc finger (C3HC4-type RING finger) family protein,78.688
BraA02g008780.3C,-2.0880763579380672,3.6805572547864096,23.397946137756435,1.3171909699396213e-6,5.427651211552055e-5,AT5G20250,DIN10,Raffinose synthase family protein,84.714
BraA06g038760.3C,0.9148099597290549,4.995601866918561,23.393396104947243,1.3203102294520253e-6,5.432776523688391e-5,AT3G25790,HHO1,NA,85.605
BraA06g038570.3C,-1.0299440503324326,2.533140546743566,23.384309211178973,1.3265619080344791e-6,5.450758205949332e-5,AT3G25950,NA,NA,82.011
BraA02g004070.3C,-0.8407931850015031,5.617216766955917,23.378598675085456,1.3305058738098283e-6,5.459220134918287e-5,AT5G11670,ATNADP-ME2,NADP-malic enzyme 2,91.171
BraA10g029560.3C,-0.8904794462247576,4.303080797199653,23.37532505557428,1.3327720909196605e-6,5.4607838655955765e-5,AT5G06870,ATPGIP2,polygalacturonase inhibiting protein 2,80.943
BraA07g004430.3C,-3.6174698917505266,2.120965018210744,23.33126919032665,1.3636498121417321e-6,5.579407875440918e-5,AT3G44840,NA,NA,71.758
BraA01g000570.3C,-0.6879070298264387,4.908379016089833,23.326977809666403,1.36669562477334e-6,5.58398291374247e-5,AT4G39640,GGT1,gamma-glutamyl transpeptidase 1,86.546
BraA07g032440.3C,-0.9582118721527828,4.6294021791181335,23.316607424757947,1.3740842151049384e-6,5.6062635976281484e-5,AT1G66880,NA,Protein kinase superfamily protein,75.376
BraA09g027690.3C,0.7332310278576629,4.23492827287436,23.269167574804598,1.4083978373033513e-6,5.7381812308021776e-5,AT5G49690,NA,UDP-Glycosyltransferase superfamily protein,81.124
BraA02g025770.3C,-3.2215141761897823,0.16399501787284707,23.211460688509845,1.4512984073414538e-6,5.904664643801577e-5,AT1G66560,ATWRKY64,WRKY DNA-binding protein 64,69.814
BraA04g002000.3C,-0.8708888651127534,4.365393162844797,23.162899892683328,1.4884135653646443e-6,6.0471758992262294e-5,AT3G60190,ADL1E,DYNAMIN-like 1E,88.836
BraA05g025510.3C,-0.5085982030367445,4.972959843624383,23.140158972908424,1.506120364601884e-6,6.110545479241929e-5,AT3G21630,AtCERK1,NA,82.085
BraA08g020340.3C,-1.4281342540715358,1.6452858284776202,23.106919373537195,1.5323825836755439e-6,6.20839981593191e-5,AT4G24690,AtNBR1,NA,81.114
BraA02g042340.3C,1.600337880105163,4.180074596791913,23.06755467451299,1.5640789046511993e-6,6.321727352345143e-5,AT5G23980,ATFRO4,ferric reduction oxidase 4,87.619
BraA09g002070.3C,-1.1907782802640328,2.2495099716877487,23.066767769887036,1.5647191768957015e-6,6.321727352345143e-5,AT4G34890,ATXDH1,NA,84.787
BraA04g001080.3C,-2.4584345033822967,0.688002670294604,23.06162305274357,1.568911706578392e-6,6.329837648490649e-5,AT2G46400,ATWRKY46,WRKY DNA-binding protein 46,68.347
BraA07g026310.3C,-0.5666687237366694,6.668463551022228,23.004069651352694,1.6165882312116688e-6,6.513119315958223e-5,AT1G79270,ECT8,evolutionarily conserved C-terminal region 8,83.779
BraA01g042610.3C,-0.7909422379320423,4.330926424990276,22.985087026973247,1.6326297739580967e-6,6.568613790558076e-5,AT3G05500,LDAP3,NA,87.381
BraA07g015290.3C,-1.3012177243969933,1.8619542930129422,22.972579849162088,1.6432863059554171e-6,6.602318683899656e-5,AT1G21210,WAK4,wall associated kinase 4,69.919
BraA03g055330.3C,-0.49858518791779066,6.919074503656151,22.91357854335469,1.6945059671770326e-6,6.798677127033834e-5,AT4G29900,ACA10,NA,92.267
BraA09g065990.3C,-0.9962757488486941,4.2724537480211655,22.86282468182857,1.7398454152318117e-6,6.970932501858246e-5,AT1G01120,KCS1,3-ketoacyl-CoA synthase 1,90.464
BraA09g013010.3C,-2.4101833184729204,0.3429571772580397,22.80552835650245,1.7924934258464332e-6,7.1719543591049e-5,AT1G63245,CLE14,CLAVATA3/ESR-RELATED 14,75
BraA09g062580.3C,-1.5380629873680522,2.9376276226374465,22.8021483081954,1.7956487099962964e-6,7.174669218092788e-5,AT1G08860,BON3,Calcium-dependent phospholipid-binding Copine family protein,87.4
BraA04g023080.3C,-1.0224308434937404,2.18094733648619,22.79479289819271,1.802534271677137e-6,7.192260713766296e-5,AT2G31990,NA,Exostosin family protein,77.011
BraA04g001270.3C,-1.1864972290877922,2.859634344368495,22.781019483918016,1.8154991798973993e-6,7.234027543778247e-5,AT3G61300,MCTP8,NA,82.295
BraA04g030420.3C,-0.573264800197284,5.684045294793773,22.76878369266271,1.8270951628543997e-6,7.270232510654704e-5,AT2G43290,AtCML5,Calcium-binding EF-hand family protein,86.265
BraA08g011540.3C,-0.6022759058866922,4.697682821818572,22.754569337038077,1.8406595714720167e-6,7.314160009108557e-5,AT4G12720,AtNUDT7,MutT/nudix family protein,88.806
BraA07g037140.3C,-1.0672902402159736,2.9756668902078043,22.750156421518298,1.8448912210668672e-6,7.320932724913015e-5,AT1G72890,NA,Disease resistance protein (TIR-NBS class),81.527
BraA09g043910.3C,-0.47841587254126217,5.695318466425229,22.739430924793282,1.8552168819245362e-6,7.351836201859092e-5,AT3G52850,ATELP,NA,88.556
BraA10g030310.3C,0.46615599535526014,4.931713643388183,22.73470277586985,1.8597871615273473e-6,7.359879029388552e-5,AT5G07820,NA,Plant calmodulin-binding protein-related,76.075
BraA08g026640.3C,1.032724805713787,4.438844782626314,22.731737945871075,1.8626587575651548e-6,7.361186751589005e-5,AT1G23150,NA,NA,80.344
BraA05g018300.3C,-0.6808574181044111,5.088872622262153,22.68124915264174,1.9122483122494004e-6,7.546867726054581e-5,AT1G51420,ATSPP1,sucrose-phosphatase 1,86.478
BraA09g013360.3C,-1.4955902258463651,1.8670731100936064,22.555973375678604,2.0410889488301786e-6,8.044389750981308e-5,AT1G63720,NA,NA,77.609
BraA01g014910.3C,-0.6842527934998879,3.929518212501167,22.52000885674026,2.0796608048904835e-6,8.185273667943958e-5,AT4G24160,NA,alpha/beta-Hydrolases superfamily protein,87.561
BraA02g017730.3C,-0.5383242502033083,4.423771896118364,22.496888151213582,2.1048429965425338e-6,8.273146801064332e-5,AT1G67560,ATLOX6,PLAT/LH2 domain-containing lipoxygenase family protein,85.673
BraA03g050380.3C,-0.9489843863889098,7.018672008944329,22.47535000605933,2.128576655219215e-6,8.355096009266967e-5,AT4G22690,CYP706A1,NA,85.794
BraA03g049020.3C,-1.7991860191057127,0.9865099145938419,22.467827298256722,2.1369293031417005e-6,8.37653153632054e-5,AT4G19970,NA,NA,89.928
BraA06g033180.3C,1.1572452321626874,4.767211816086306,22.432465073417006,2.1766355603765852e-6,8.520645799052557e-5,AT5G26200,NA,Mitochondrial substrate carrier family protein,84.787
BraA08g019400.3C,-1.4269011809571372,1.2235896554912389,22.413115138356858,2.1986749519432204e-6,8.595305804033902e-5,AT4G27480,NA,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein",87.943
BraA07g009400.3C,1.4714855302048895,2.8180126198281443,22.38025504190641,2.2366164089422425e-6,8.731846918361036e-5,AT3G56980,BHLH039,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,79.26
BraA05g035500.3C,-1.5206537449427393,3.718421252211843,22.371044174086094,2.247368987721568e-6,8.762016801657925e-5,AT3G11430,ATGPAT5,NA,86.627
BraA02g006220.3C,1.0725737928582801,5.454527866606221,22.326698274902682,2.2998678335753364e-6,8.948210935480064e-5,AT5G15830,AtbZIP3,basic leucine-zipper 3,87.04
BraA10g032260.3C,-0.9129368514436433,4.813919706766794,22.325499541410522,2.301303903249326e-6,8.948210935480064e-5,AT5G04040,SDP1,Patatin-like phospholipase family protein,80.89
BraA03g025890.3C,-0.6010953461964611,3.997162133672629,22.29442723292324,2.338843702632244e-6,9.081987182017539e-5,AT2G20960,pEARLI4,Arabidopsis phospholipase-like protein (PEARLI 4) family,77.432
BraA04g027580.3C,-0.8331470575825415,5.595562616716387,22.272072075273684,2.3662313568015406e-6,9.176036137058504e-5,AT2G39200,ATMLO12,Seven transmembrane MLO family protein,89.425
BraA01g006990.3C,-0.6587930959895546,5.235246296160504,22.269491729941052,2.369413218909332e-6,9.176091193230685e-5,AT4G30790,ATG11,NA,85.983
BraA01g022400.3C,-0.8083115714010493,3.366276331236578,22.265131416443438,2.3747997442936994e-6,9.179718177917455e-5,AT3G51430,SSL5,Calcium-dependent phosphotriesterase superfamily protein,81.047
BraA08g021190.3C,-2.5551397346910347,1.3184971768819673,22.26360557430334,2.3766875978452396e-6,9.179718177917455e-5,AT4G36670,AtPLT6,NA,87.858
BraA03g042470.3C,-2.2866842767144595,0.37082470766464243,22.237087286348512,2.409738955851199e-6,9.29498243316878e-5,AT1G58400,NA,Disease resistance protein (CC-NBS-LRR class) family,70.564
BraA02g016750.3C,-0.5305390804491719,6.569887663783771,22.23112939134073,2.4172278544109464e-6,9.311470277470252e-5,AT1G65610,ATGH9A2,Six-hairpin glycosidases superfamily protein,86.409
BraA05g042330.3C,-2.2408578936152983,0.7441247219357742,22.183561625816054,2.477862648406102e-6,9.532367224306503e-5,AT3G04070,ANAC047,NAC domain containing protein 47,85.368
BraA08g035560.3C,-0.7424809156268792,4.324822536827685,22.16209016600179,2.5057299831225975e-6,9.619930746238401e-5,AT1G02900,ATRALF1,rapid alkalinization factor 1,86.027
BraA06g035420.3C,-1.7516409628322198,1.5060811768558,22.16011381475593,2.508310795228107e-6,9.619930746238401e-5,AT5G48657,NA,defense protein-related,76.128
BraA07g016620.3C,-1.2011344170919718,2.4416602341468376,22.158372625301155,2.510586731619798e-6,9.619930746238401e-5,AT5G67310,CYP81G1,"cytochrome P450, family 81, subfamily G, polypeptide 1",74.426
BraA04g001110.3C,0.7029110257209888,5.005071795272548,22.12229389932166,2.558214842623887e-6,9.789480523266678e-5,AT3G61590,HS,Galactose oxidase/kelch repeat superfamily protein,81.631
BraA07g016770.3C,-1.1283453467598836,3.71914707872356,22.102055381197175,2.5853278295952597e-6,9.88018160523951e-5,AT5G67180,EAT3,target of early activation tagged (EAT) 3,81.885
BraA08g013400.3C,-0.6144859471759228,7.3008907062709705,22.07049894061433,2.628179485611504e-6,1.0030711902397109e-4,AT4G19200,NA,NA,82.187
BraA09g031520.3C,-0.6936324700059243,4.7911113332187085,22.062272953069964,2.6394664724362967e-6,1.006053483862298e-4,AT1G33700,NA,"Beta-glucosidase, GBA2 type family protein",89.481
BraA02g007340.3C,-0.9602771372728522,3.4046585898256465,22.047806774563256,2.6594338001103545e-6,1.0123321724257129e-4,AT5G17960,NA,Cysteine/Histidine-rich C1 domain family protein,83.822
BraA02g009180.3C,0.8950909334668775,3.1635603345922907,22.037224270898392,2.67413649829073e-6,1.016592993208476e-4,AT5G20885,NA,RING/U-box superfamily protein,81.733
BraA04g005020.3C,-1.8397206631228054,1.7356004700107184,22.029455230821284,2.684982224220291e-6,1.0193783102387075e-4,AT3G55090,ABCG16,NA,83.064
BraA04g031380.3C,-0.9669512446077889,7.022975999758892,22.018341868956824,2.7005734489136807e-6,1.0239556501064332e-4,AT2G43910,ATHOL1,HARMLESS TO OZONE LAYER 1,85.38
BraA03g029060.3C,-2.4929970562711947,2.981917974842123,22.015778189571535,2.7041829760167034e-6,1.0239839535849917e-4,AT2G02930,ATGSTF3,glutathione S-transferase F3,90.794
BraA06g003740.3C,-1.0471895955265822,7.249387687668702,22.00240952617723,2.7230839355786337e-6,1.0297949797107292e-4,AT3G14690,CYP72A15,NA,85.805
BraA01g035950.3C,-0.7366933198200092,5.8366546515761275,21.958611774986622,2.785939722508314e-6,1.0521916803340396e-4,AT3G16420,JAL30,PYK10-binding protein 1,84.049
BraA06g004690.3C,-1.0703583802453045,3.1277285231877943,21.950677583414816,2.797481144914837e-6,1.0551749193475652e-4,AT1G48260,CIPK17,CBL-interacting protein kinase  17,84.695
BraA03g060860.3C,-0.7222016125928455,4.657591663815878,21.94611280592079,2.804142996250487e-6,1.0563122797839286e-4,AT4G37610,BT5,NA,87.632
BraA09g010100.3C,-0.7690860030966699,6.817292663475542,21.921751579550033,2.839965921958029e-6,1.0684173094451972e-4,AT2G14750,AKN1,APS kinase,85.372
BraA03g001550.3C,-1.1261162326061824,3.6145950342778357,21.914709638922645,2.850406309548777e-6,1.0709542149806612e-4,AT5G04370,NAMT1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,87.076
BraA04g017960.3C,-1.2810028545353331,2.8826239010388677,21.88295595309843,2.897964750618475e-6,1.0874124727450256e-4,AT2G24430,ANAC038,NAC domain containing protein 38,90.356
BraA07g019420.3C,-4.20020896674501,2.7817654377431897,21.840217145820446,2.963235334048824e-6,1.110465732946007e-4,AT5G38100,NA,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,80.784
BraA08g016320.3C,-0.6476184969122942,4.5703134455320455,21.73557224216053,3.1293445368585027e-6,1.1711996452676629e-4,AT4G33920,APD5,NA,87.219
BraA09g048990.3C,-0.5293196252258634,5.115534188548365,21.724235849866673,3.147891292777838e-6,1.175813915816921e-4,AT3G58750,CSY2,NA,89.29
BraA05g007140.3C,0.7508393344120385,4.307997836059703,21.721279833426237,3.152745547287841e-6,1.175813915816921e-4,AT2G38500,NA,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,87.558
BraA08g003240.3C,-0.6738899597856567,5.676864532934308,21.720607606925313,3.1538504991361077e-6,1.175813915816921e-4,AT3G16460,JAL34,Mannose-binding lectin superfamily protein,74.724
BraA08g018030.3C,-1.9120929894545686,4.069634819011558,21.705186902918385,3.1793047797803527e-6,1.1837802167182167e-4,AT4G30530,GGP1,NA,86.056
BraA09g009310.3C,-3.773666797139569,-0.4330993031004224,21.694094805314805,3.1977413845456354e-6,1.1891164624841844e-4,AT5G66890,NA,Leucine-rich repeat (LRR) family protein,80.154
BraA09g005040.3C,-1.2937540435579216,2.4038674441605976,21.676887772407028,3.2265543721076242e-6,1.1982926545027394e-4,AT5G27540,emb2473,MIRO-related GTP-ase 1,87.181
BraA01g016030.3C,-0.6546143795198326,3.603346212696307,21.637989124277226,3.2926534720120868e-6,1.2207745212384512e-4,AT4G25280,NA,NA,84.225
BraA09g008060.3C,-0.48465247972990827,5.073025108329532,21.63632109838605,3.2955180737657723e-6,1.2207745212384512e-4,AT5G63980,ALX8,Inositol monophosphatase family protein,88.394
BraA09g057920.3C,-1.8714921883339175,1.3064084420232411,21.617190580266055,3.3285514198740692e-6,1.2314364946476635e-4,AT1G17180,ATGSTU25,glutathione S-transferase TAU 25,87.043
BraA06g021670.3C,-0.539083706123441,6.403117385448215,21.52744293140252,3.4880128805707812e-6,1.2887851674027345e-4,AT3G44190,NA,NA,86.235
BraA02g005900.3C,-1.328775592504009,5.220470255965002,21.5028822170799,3.532972595834319e-6,1.3037343968933573e-4,AT5G15180,PRX56,Peroxidase superfamily protein,84.894
BraA02g031580.3C,-0.859990287727815,4.24411933592748,21.47759644688061,3.579867173454593e-6,1.3193586804151737e-4,AT5G45110,ATNPR3,NPR1-like protein 3,84.977
BraA01g019380.3C,-0.520475542527228,5.645087692394477,21.46874265738468,3.5964344853587367e-6,1.3237803579653351e-4,AT4G17230,SCL13,NA,83.863
BraA09g009050.3C,-0.719870314552921,4.461819373456255,21.44245702962118,3.646075107674421e-6,1.3403490319684343e-4,AT5G67340,PUB2,ARM repeat superfamily protein,84.237
BraA03g016250.3C,-0.9531905819241157,2.556050449978623,21.41635112561542,3.6960568252098084e-6,1.357000939324179e-4,AT2G30490,ATC4H,NA,84.891
BraA08g005910.3C,-1.252189344653933,3.3438434498271885,21.413344814342622,3.7018566036907747e-6,1.3574098999457514e-4,AT1G44170,ALDH3H1,aldehyde dehydrogenase 3H1,85.741
BraA09g042160.3C,-0.4436913172762661,5.330818574699267,21.399293864403504,3.7290850306055783e-6,1.3656654256205105e-4,AT3G50910,NA,NA,78.277
BraA04g021020.3C,-1.927733480394636,5.6149190983441075,21.35255640293701,3.821108887595832e-6,1.3972869154373275e-4,AT2G30670,NA,NAD(P)-binding Rossmann-fold superfamily protein,89.268
BraA02g028900.3C,-0.6384668862457601,4.495290553902395,21.34958623859211,3.82703342609212e-6,1.3972869154373275e-4,AT4G10360,NA,"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein",86.653
BraA09g006540.3C,-0.8999448730518212,2.6029120177270553,21.348150132855977,3.829901307847411e-6,1.3972869154373275e-4,AT5G23530,AtCXE18,carboxyesterase 18,81.134
BraA02g022500.3C,-1.4240462605851305,1.8645615956000758,21.343559361614098,3.839083483238879e-6,1.3976103322813858e-4,AT1G15460,ATBOR4,HCO3- transporter family,87.135
BraA01g012100.3C,-1.7253464332720778,1.8766875927095772,21.342883522636825,3.840437118530734e-6,1.3976103322813858e-4,AT4G21380,ARK3,receptor kinase 3,84.145
BraA04g029300.3C,-0.5277803981844439,5.075397270488293,21.30389271449485,3.91934799496176e-6,1.4245379261988993e-4,AT2G41500,AtPRP4,WD-40 repeat family protein / small nuclear ribonucleoprotein Prp4p-related,88.293
BraA04g031180.3C,-1.154138214454086,4.751015531993689,21.300411483825087,3.926472056001299e-6,1.4253388786747575e-4,AT2G44370,NA,Cysteine/Histidine-rich C1 domain family protein,83.267
BraA03g052700.3C,-1.6033055394254985,1.533461747348542,21.26381796094995,4.0021485617210415e-6,1.4504945300609483e-4,AT4G25640,ATDTX35,detoxifying efflux carrier 35,87.569
BraA01g035980.3C,-0.6576300572294933,9.215212001456177,21.262077371915254,4.00578439674385e-6,1.4504945300609483e-4,AT2G33070,ATNSP2,nitrile specifier protein 2,87.231
BraA06g035760.3C,-1.0034192957499612,5.197173685710269,21.219435991600875,4.095898688564607e-6,1.4804144457367197e-4,AT5G48180,AtNSP5,nitrile specifier protein 5,82.213
BraA06g011000.3C,-2.537788287989924,0.8105293312364281,21.218156290500303,4.098634305029168e-6,1.4804144457367197e-4,AT1G14870,AtPCR2,PLANT CADMIUM RESISTANCE 2,85.185
BraA10g000750.3C,-1.142418957258365,3.5138832493347048,21.18360915153265,4.173182638122035e-6,1.505463943475954e-4,AT1G01120,KCS1,3-ketoacyl-CoA synthase 1,89.716
BraA03g036440.3C,-0.5737688841441612,4.906246740029488,21.15172804452935,4.243184755242558e-6,1.5282691936327193e-4,AT5G12010,NA,NA,83.814
BraA09g032920.3C,-1.2569145829115678,2.4984843007334963,21.150027877245975,4.246950776285346e-6,1.5282691936327193e-4,AT1G32200,ACT1,phospholipid/glycerol acyltransferase family protein,93.578
BraA06g030640.3C,-0.6465834777523082,3.973564170499576,21.134147225372203,4.2822902220923e-6,1.5390742326745627e-4,AT2G17120,CL-1,lysm domain GPI-anchored protein 2 precursor,73.824
BraA09g039620.3C,1.4512533337219184,0.7614522275660561,21.098261779878214,4.363237332046271e-6,1.5662237798601784e-4,AT1G23520,NA,Domain of unknown function (DUF220),71.681
BraA01g013720.3C,-0.49987785697508447,8.942191535416116,21.095817440073986,4.368806585372302e-6,1.56628204412209e-4,AT4G23100,ATECS1,glutamate-cysteine ligase,87.532
BraA09g048970.3C,-3.2860694221663986,0.5011728132556686,21.066200934843963,4.436855243709699e-6,1.5887122707018857e-4,AT3G58750,CSY2,NA,87.062
BraA09g026940.3C,-0.5082113697073954,5.566854601266363,21.02925431197575,4.523239187619583e-6,1.6176443553946184e-4,AT4G11600,ATGPX6,glutathione peroxidase 6,87.747
BraA01g021750.3C,-0.4077863926733786,6.575607202566039,21.019614993164936,4.546052940491337e-6,1.6237985398292608e-4,AT4G14880,ATCYS-3A,O-acetylserine (thiol) lyase (OAS-TL) isoform A1,90.514
BraA05g018080.3C,-0.7997220104469858,4.603945873375086,21.010593481747748,4.567509105324392e-6,1.6294532483132634e-4,AT1G51790,NA,Leucine-rich repeat protein kinase family protein,84.349
BraA09g045150.3C,-2.186763816167316,2.951357003319767,20.972505580291354,4.6592208658520635e-6,1.6601268147847797e-4,AT3G54150,EFD,NA,85.882
BraA07g041460.3C,-0.9818348958821803,4.509732967420194,20.91113013101412,4.810911364304548e-6,1.7120697837982084e-4,AT1G78340,ATGSTU22,glutathione S-transferase TAU 22,84.122
BraA03g045060.3C,-1.471876824244012,1.8911917543827177,20.842628656861137,4.986074955273198e-6,1.772228457722135e-4,AT3G50170,NA,Plant protein of unknown function (DUF247),78.43
BraA02g008790.3C,-1.0284721267219612,3.2349078107117792,20.83776998186852,4.998739375580879e-6,1.7745524783312121e-4,AT5G20270,HHP1,heptahelical transmembrane protein1,85.886
BraA02g016790.3C,-1.8390481013576092,1.6273239868373197,20.824910915407486,5.03241329123236e-6,1.7821768129252044e-4,AT1G65690,NHL6,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,83.516
BraA04g012960.3C,-0.9874323570402983,2.747371277026507,20.82486998943037,5.0325208263353256e-6,1.7821768129252044e-4,AT5G40390,RS5,Raffinose synthase family protein,87.156
BraA05g016890.3C,-1.8814991023542702,1.2456315392900363,20.814681025132572,5.059364737597213e-6,1.7894954544409776e-4,AT1G53620,NA,NA,69.73
BraA04g000990.3C,0.5497755541628077,6.602854942862408,20.785827158331742,5.13616560690002e-6,1.814444454886339e-4,AT3G61830,ARF18,auxin response factor 18,88.574
BraA03g006190.3C,-1.0111657971967831,4.337245958667215,20.762960062473027,5.197861642005481e-6,1.8340031187041996e-4,AT5G14230,NA,NA,86.014
BraA02g008100.3C,0.9621243459366154,6.172813396640452,20.7441491920887,5.249171090834682e-6,1.8498538705510837e-4,NA,NA,NA,NA
BraA02g005310.3C,-1.3730052462858515,2.202610228012398,20.741436403991656,5.2566124477163744e-06,1.8502253874295012e-4,AT5G14130,NA,Peroxidase superfamily protein,80.544
BraA02g002870.3C,-0.9736235702903218,2.6074763340398097,20.65198513812105,5.508004879810895e-6,1.9363578320189564e-4,AT5G08790,anac081,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein,85.448
BraA01g028490.3C,-2.316883296558576,0.27354266106174824,20.646266913174713,5.524479669641542e-6,1.939795479638499e-4,AT1G05560,UGT1,UDP-glucosyltransferase 75B1,80.583
BraA03g020880.3C,-0.7353695285854254,4.4625142999840754,20.638937616806516,5.545668465021635e-6,1.9448780156748998e-4,AT2G39420,MAGL8,alpha/beta-Hydrolases superfamily protein,88.679
BraA01g001640.3C,0.7712136439192042,3.609318681960398,20.611757713200035,5.6249594275014365e-6,1.9703001777008657e-4,AT4G36900,DEAR4,NA,82.16
BraA02g028100.3C,-0.6423847363398054,3.476421242340223,20.600400860878977,5.6584265012895135e-6,1.9796292136395487e-4,AT4G12040,AtSAP7,A20/AN1-like zinc finger family protein,84.746
BraA02g006120.3C,-0.5581507121756676,3.8690604050204493,20.597002071717924,5.668481065125603e-6,1.980754638052575e-4,AT5G15640,NA,Mitochondrial substrate carrier family protein,86.42
BraA08g029880.3C,-1.6959796172146453,1.5515601202932159,20.57743133253966,5.726726659910072e-6,1.998696601015361e-4,AT1G15380,GLYI4,Lactoylglutathione lyase / glyoxalase I family protein,88.762
BraA09g039220.3C,-2.324490358308732,1.060861200028832,20.573937073875413,5.737189148063244e-6,1.999938570891649e-4,AT1G24140,AT3-MMP,Matrixin family protein,79.982
BraA07g020950.3C,-0.5822091295568665,5.991123785258343,20.570290144339694,5.74812922400327e-6,2.001343838472677e-4,AT3G52870,NA,NA,86.406
BraA10g029540.3C,-1.2402080287492687,5.311453628302137,20.53558371410969,5.853295268047079e-6,2.0355132932147393e-4,AT5G06860,ATPGIP1,polygalacturonase inhibiting protein 1,86.058
BraA07g026640.3C,-2.410055257478637,0.2984251529601323,20.526342337155782,5.881622265429406e-6,2.0429116760786457e-4,AT1G78320,ATGSTU23,glutathione S-transferase TAU 23,85.388
BraA09g016880.3C,-1.564299704916732,1.1055024402034088,20.515945664186745,5.913655028713065e-6,2.0515779505600007e-4,AT4G11170,RMG1,NA,86.928
BraA10g011190.3C,-1.0400022807728475,2.432182787764636,20.510952335819866,5.929101956681023e-6,2.0544763813533e-4,AT5G52880,NA,F-box family protein,81.389
BraA09g017210.3C,-1.0901946294369147,6.941489065470627,20.480103762892185,6.025434488836433e-6,2.0853618431614551e-4,AT1G60470,AtGolS4,galactinol synthase 4,91.045
BraA04g013290.3C,-0.5902449739682252,6.738223037993986,20.462359243072143,6.081556401883728e-6,2.1022735781595208e-4,AT5G40670,NA,PQ-loop repeat family protein / transmembrane family protein,89.163
BraA09g024540.3C,0.513969034462072,4.976032668941729,20.43509507246712,6.168810985196653e-6,2.1298941194180767e-4,AT3G25790,HHO1,NA,77.203
BraA03g039360.3C,-0.7752638555905966,4.630831774169938,20.42393017993203,6.204904064225572e-6,2.1398054872915045e-4,AT3G20370,NA,NA,80.263
BraA05g001180.3C,-1.3676060608642286,3.1962748927485523,20.40889663018814,6.2538385656913485e-6,2.152045752128083e-4,AT2G46650,ATCB5-C,cytochrome B5 isoform C,88.471
BraA01g013280.3C,-1.350375881040249,4.5786489494873095,20.40846296751502,6.2552558799083325e-6,2.152045752128083e-4,AT4G22690,CYP706A1,NA,87.81
BraA10g027790.3C,0.753567708340966,6.16909850532591,20.39203791710689,6.3091749356519e-6,2.168021109560667e-4,AT5G10030,OBF4,TGACG motif-binding factor 4,90.687
BraA08g028330.3C,-0.7315909519035105,5.090214310999665,20.38102708397173,6.34558151586508e-6,2.1779479307059197e-4,AT1G19180,AtJAZ1,jasmonate-zim-domain protein 1,77.943
BraA05g024300.3C,-0.6435829643504007,8.482165024745537,20.378707361207532,6.353278375449024e-6,2.1780090885207968e-4,AT3G22890,APS1,NA,87.125
BraA05g033320.3C,0.5826937965273908,5.940755139404543,20.372799055630693,6.372924539302496e-6,2.1821616791313793e-4,AT3G13690,NA,NA,87.691
BraA01g040760.3C,-1.4148969664044115,1.9464449104416377,20.361774021591643,6.409747944637636e-6,2.1921792026005082e-4,AT2G03750,NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein,68.382
BraA10g016590.3C,-0.9661092163481878,2.6049937555363996,20.296139941392582,6.633427632273776e-6,2.2660039109871074e-4,AT5G58700,ATPLC4,phosphatidylinositol-speciwc phospholipase C4,84.84
BraA05g033850.3C,-2.4232213366566095,1.6379094065710045,20.287687705948343,6.662796513597854e-6,2.273355587819819e-4,AT3G13350,NA,NA,72.438
BraA02g031640.3C,-0.8594611888254887,3.548626725093224,20.224698139250478,6.885816210766109e-6,2.3466861646290898e-4,AT2G17060,NA,Disease resistance protein (TIR-NBS-LRR class) family,68.814
BraA05g038270.3C,-0.9495203351386743,3.276524305092665,20.217311095437466,6.912456828301901e-6,2.3523046987031053e-4,AT3G07390,AIR12,NA,76.809
BraA04g026180.3C,-1.1347824356662033,1.801566122887733,20.215627437680226,6.918543231479721e-6,2.3523046987031053e-4,AT2G36890,ATMYB38,Duplicated homeodomain-like superfamily protein,85.526
